epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.3769,4.02531,3.89452,4.17282,0.00135,0.04545,8e-05,1e-05,4.18209,3.90608,4.1718,0.000655367,0.000655367,0.000655367
2,157.36,3.59115,3.41496,3.71787,0.00239,0.1,0.00023,4e-05,4.2055,3.74076,4.00864,0.00119115,0.00119115,0.00119115
3,221.656,3.31861,3.10738,3.34154,0.02439,0.07273,0.00812,0.0016,3.42804,3.79542,3.59129,0.00159494,0.00159494,0.00159494
4,309.813,3.11044,2.9867,3.10689,0.03076,0.13636,0.01039,0.00292,3.10165,8.53524,3.98473,0.001406,0.001406,0.001406
5,392.647,2.9312,2.85871,2.94571,0.1253,0.12121,0.03967,0.01026,2.92265,3.00504,3.04625,0.001208,0.001208,0.001208
6,472.855,2.87895,2.69778,2.83733,0.17536,0.15758,0.08445,0.02381,2.81637,2.60841,2.83562,0.00101,0.00101,0.00101
